frame_id,camera,local_track_id,global_id,x1,y1,x2,y2,width,height,center_x,center_y,confidence
7,tacticam,3,12,1123,479,1157,542,34,63,1140.0,510.5,0.919843852519989
7,tacticam,14,5,938,267,968,327,30,60,953.0,297.0,0.91811203956604
7,tacticam,18,7,1479,223,1511,272,32,49,1495.0,247.5,0.9159286022186279
7,tacticam,16,4,827,242,867,294,40,52,847.0,268.0,0.9158141016960144
7,tacticam,8,8,1296,812,1345,890,49,78,1320.5,851.0,0.9153780937194824
7,tacticam,7,29,1664,460,1697,523,33,63,1680.5,491.5,0.9138597846031189
7,tacticam,17,31,431,205,466,263,35,58,448.5,234.0,0.9078947305679321
7,tacticam,12,19,722,344,757,400,35,56,739.5,372.0,0.907282829284668
7,tacticam,4,20,921,197,958,244,37,47,939.5,220.5,0.9068654775619507
7,tacticam,6,22,1131,347,1158,403,27,56,1144.5,375.0,0.9039391875267029
7,tacticam,5,2,871,576,921,640,50,64,896.0,608.0,0.9025492668151855
7,tacticam,2,15,1713,324,1737,383,24,59,1725.0,353.5,0.896094560623169
7,tacticam,20,17,868,148,893,191,25,43,880.5,169.5,0.8938360810279846
7,tacticam,15,11,1008,146,1035,195,27,49,1021.5,170.5,0.8933111429214478
7,tacticam,21,16,895,156,927,204,32,48,911.0,180.0,0.8898828625679016
7,tacticam,13,10,759,396,781,455,22,59,770.0,425.5,0.832187831401825
8,broadcast,10,10,1748,591,1809,696,61,105,1778.5,643.5,0.9243481159210205
8,broadcast,3,3,613,752,676,877,63,125,644.5,814.5,0.9185623526573181
8,broadcast,13,13,1540,718,1613,839,73,121,1576.5,778.5,0.9152621030807495
8,broadcast,5,5,898,578,951,666,53,88,924.5,622.0,0.9066061973571777
8,broadcast,4,4,1244,463,1295,558,51,95,1269.5,510.5,0.9052070379257202
8,broadcast,9,9,839,616,892,725,53,109,865.5,670.5,0.8900557160377502
8,broadcast,7,7,1662,450,1701,531,39,81,1681.5,490.5,0.8822416067123413
8,broadcast,8,8,1484,428,1530,513,46,85,1507.0,470.5,0.8654313683509827
